Organization Name,Headquarters Location,Founded (Year),Total Funding Amount
Spyne,Haryana,2018,"70,00,000"
Practically,Andhra Pradesh,2018,"1,54,86,115"
PeAr Technology,Maharashtra,2018,"9,21,901"
Enthu.AI,Chandigarh,2020,179826.75
RESET Tech,Maharashtra,2021,3596535
Sciative Solutions,Maharashtra,2018,"20,00,000"
The Tarzan Way,Uttar Pradesh,2018,28772.28
Road Metrics,Karnataka,2019,"2,50,000"
Accetion,Karnataka,2018,"4,70,000"
Klivolks,Kerala ,2018,2397.69
Indisjobs,Uttar Pradesh,2021,"1,00,000"
Inertialogic AI Private Limited,Rajasthan,2022,14386.14
Boostmychild Private Limited,Maharashtra,2021,23976.9
DcodeAI,Uttar Pradesh,2020,"5,00,000"
Citriot,Karnataka,2018,"90,000"
Zolopik,Karnataka,2018,"70,000"
Modenrgy,Tamil Nadu,2021,"20,00,000"
Vizzbee,Madhya Pradesh,2019,"20,000"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
,,,
,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
